,MLS #,Type,Status,City,Address,Unit Number,Price,Bedrooms,Total Bathrooms,Days On Market,Listing Date,Closing Date,Short Sale Y/N,Approx Sq Ft,Total Rooms,Bank Owned Y/N,Days On MLS,Monthly Maintenance Fee,Short Sale (Y/N),PARKING AVAILABLE,PARKING AVAILABLE.1,PARKING AVAILABLE.2,Zip,Elevator,A/C Central,A/C Central.1,A/C Central.2,Terrace,Terrace.1,Terrace.2,Washer/Dryer,Washer/Dryer.1,Washer/Dryer.2,Taxes,Doorman,Doorman.1,Exercise Room,Exercise Room.1,Health Club,Health Club.1,New York View,New York View.1,New York View.2,River View,River View.1,River View.2,Street_Num,Street_Name,Neighborhood,City_X,Zip_Code,Latitude,Longitude
2265,60000695,Condominium,SOLD,"JC, Downtown",1 GREENE ST,302,"$329,600 ",0.0,1.0,86,1/18/2006,4/28/2006,,600.0,3.0,,84,239.0,,,"1 Car, Other-See Remarks",,7302,Yes,,No,,,No,,,No,,3005,Yes,,Yes,,No,,,Yes,,,Yes,,1,Greene St,The Waterfront,Jersey City,07302,40.7126231,-74.0365272
2266,70003504,Condominium,SOLD,Union City,401-403 BERGENLINE AVE,12,"$329,600 ",3.0,2.0,167,7/17/2006,3/1/2007,,960.0,6.0,,0,192.0,,,1 Car,,7087,No,,Yes,,,No,,,No,,,No,,No,,No,,,No,,,No,,403,Bergenline Ave,Not Found,Union City,07087,40.7549917,-74.0410911
2267,70001026,One Family,SOLD,North Bergen,4316 NEWKIRK AVE,,"$329,600 ",3.0,2.0,87,1/22/2007,6/25/2007,,,5.0,,85,,,None,,,7047,,Yes,,,,,No,Yes,,,4666,,,,,,,No,,,No,,,4316,Newkirk Ave,Not Found,North Bergen,07047,40.7811499,-74.029132
2268,100014990,Condominium,SOLD,North Bergen,8100 RIVER RD,208,"$329,800 ",1.0,1.0,83,12/3/2010,7/25/2011,,906.0,4.0,,80,491.0,No,,"1 Car, Covered, Garage",,07047-7206,Yes,,Yes,,,No,,,Yes,,7700,Yes,,Yes,,Yes,,,No,,,No,,8100,River Rd,Not Found,North Bergen,07047,40.7985385,-73.9952226
2269,309612,Condominium,SOLD,Hoboken,725 JEFFERSON ST,38,"$329,900 ",1.0,1.0,11,12/8/2003,2/10/2004,,725.0,4.0,,10,150.0,,,"1 Car, Attached, Garage",,7030,Yes,,Yes,,,No,,,Yes,,4700,No,,Yes,,No,,,Yes,,,No,,725,Jefferson St,Not Found,Hoboken,07030,40.7470376,-74.0357832
2270,402387,Condominium,SOLD,Hoboken,1015 WASHINGTON ST,3,"$329,900 ",1.0,1.0,9,3/23/2004,4/30/2004,,600.0,3.0,,8,191.0,,,None,,7030,Yes,,No,,,No,,,No,,3079,No,,No,,No,,,No,,,No,,1015,Washington St,Not Found,Hoboken,07030,40.7490255,-74.0273308
2271,405839,One Family,SOLD,Guttenberg,7010 JACKSON ST,,"$329,900 ",4.0,2.0,98,7/2/2004,12/7/2004,,,,,92,,,"1 Car, Attached, Garage",,,7093,,Yes,,,,,No,No,,,6155,,,,,,,No,,,No,,,7010,Jackson St,Not Found,Guttenberg,07093,40.7976213,-74.0128102
2272,408543,One Family,SOLD,"JC, West Bergen",2077 KENNEDY BLVD,,"$329,900 ",4.0,3.0,65,10/4/2004,1/14/2005,,,,,61,,,3+ Cars,,,7305,,Yes,,,,,No,No,,,5296,,,,,,,No,,,No,,,2077,John F Kennedy Blvd W,Not Found,Union City,07087,40.7686617,-74.0405769
2273,502135,Condominium,SOLD,Hoboken,1027 WASHINGTON ST,1R,"$329,900 ",1.0,1.0,6,3/13/2005,6/16/2005,,500.0,3.0,,4,276.0,,,None,,7030,No,,No,,,No,,,No,,3315,No,,No,,No,,,No,,,No,,1027,Washington St,Not Found,Hoboken,07030,40.7493109,-74.0271898
2274,505196,Condominium,SOLD,Newark,340-46 FERRY ST,55,"$329,900 ",3.0,2.0,61,6/9/2005,9/28/2005,,1960.0,6.0,,60,100.0,,,1 Car,,7101,No,,Yes,,,No,,,No,,2400,No,,No,,No,,,No,,,No,,46,Ferry St,North Ironbound,Newark,07105,40.7325516,-74.1629727
