,MLS #,Type,Status,City,Address,Unit Number,Price,Bedrooms,Total Bathrooms,Days On Market,Listing Date,Closing Date,Short Sale Y/N,Approx Sq Ft,Total Rooms,Bank Owned Y/N,Days On MLS,Monthly Maintenance Fee,Short Sale (Y/N),PARKING AVAILABLE,PARKING AVAILABLE.1,PARKING AVAILABLE.2,Zip,Elevator,A/C Central,A/C Central.1,A/C Central.2,Terrace,Terrace.1,Terrace.2,Washer/Dryer,Washer/Dryer.1,Washer/Dryer.2,Taxes,Doorman,Doorman.1,Exercise Room,Exercise Room.1,Health Club,Health Club.1,New York View,New York View.1,New York View.2,River View,River View.1,River View.2,Street_Num,Street_Name,Neighborhood,City_X,Zip_Code,Latitude,Longitude
1828,401434,One Family,SOLD,Secaucus,737 HUDSON AVE,,"$281,000 ",3.0,1,34,2/24/2004,6/24/2004,,,,,34,,,None,,,7094,,No,,,,,No,Yes,,,2524,,,,,,,No,,,No,,,737,Hudson Ave,Not Found,Secaucus,07094,40.7931692,-74.0662958
1829,501916,Cooperative,SOLD,West New York,6040 BLVD EAST,7B,"$281,000 ",1.0,1,399,3/3/2005,6/28/2006,,1150.0,4.0,,394,859.0,,,Other-See Remarks,,7093,Yes,,Yes,,,Yes,,,No,,,Yes,,No,,No,,,No,,,Yes,,Not Found,J F Kennedy Blvd E,Not Found,West New York,07093,40.7854937,-74.0081343
1830,60009683,Condominium,SOLD,North Bergen,4521 SMITH AVE,G-113,"$281,000 ",2.0,2,92,7/19/2006,12/19/2006,,812.0,5.0,,85,188.0,,,1 Car,,7047,No,,Yes,,,Yes,,,Yes,,4396,No,,No,,No,,,No,,,No,,4521,Smith Ave,Not Found,North Bergen,07047,40.7813454,-74.0268358
1831,70013976,Condominium,SOLD,Guttenberg,125 70TH ST,2F,"$281,000 ",1.0,2,60,10/12/2007,1/25/2008,,876.0,4.0,,56,262.0,,,1 Car,,07093-3479,Yes,,Yes,,,No,,,Yes,,3600,No,,No,,No,,,No,,,No,,125,70th St,Not Found,Guttenberg,07093,40.7930868,-74.0043922
1832,80002231,Condominium,SOLD,"JC, Journal Square",75 LIBERTY AVE,D27,"$281,000 ",2.0,1,197,2/18/2008,10/17/2008,,832.0,5.0,,197,314.0,,,1 Car,,07306-5057,Yes,,Yes,,,No,,,Yes,,3876,Yes,,No,,Yes,,,No,,,No,,75,Liberty Ave,Journal Square,Jersey City,07306,40.7386692,-74.064489
1833,110013753,One Family,SOLD,Bayonne,31-33 EAST 49TH ST,,"$281,000 ",3.0,2,112,12/8/2011,5/29/2012,,,7.0,,107,,,"2 Cars, Attached",,,07002-4015,,No,,,,,No,Yes,,,8047,,,,,,,No,,,No,,,33,E 49th St,Bayonne,Bayonne,07002,40.6816771,-74.1014389
1834,120004729,Condominium,SOLD,"JC, Downtown",264 9TH ST,3K,"$281,000 ",1.0,1,37,4/18/2012,6/15/2012,,738.0,3.0,,36,273.0,,,1 Car,,7302,No,,No,,,No,,,No,,2999,No,,No,,No,,,No,,,No,,264,9th St,Historic Downtown,Jersey City,07302,40.7285175,-74.0458276
1835,90008461,Condominium,SOLD,"JC, Journal Square",75 LIBERTY AVE,A1,"$281,007 ",2.0,2,96,7/8/2009,4/19/2010,,1297.0,5.0,,96,502.0,,,1 Car,,7306,Yes,,Yes,,,No,,,Yes,,5763,No,,Yes,,No,,,No,,,No,,75,Liberty Ave,Journal Square,Jersey City,07306,40.7386692,-74.064489
1836,80006762,Condominium,SOLD,West New York,5711 JEFFERSON ST,312,"$281,060 ",0.0,0,7,3/20/2008,5/15/2008,,,0.0,,0,,,,Other-See Remarks,,7093,Yes,,No,,,No,,,No,,,No,,No,,No,,,No,,,No,,5711,Jefferson St,Not Found,West New York,07093,40.7890123,-74.0219722
1837,70004922,Condominium,SOLD,"JC, Journal Square",2700 KENNEDY BLVD,100,"$281,500 ",2.0,2,101,4/13/2007,8/10/2007,,1050.0,5.0,,102,253.0,,,"Other-See Remarks, None",,07306-5731,Yes,,Yes,,,No,,,Yes,,2359,No,,No,,No,,,No,,,No,,2700,John F Kennedy Blvd W,McGinley Square,Jersey City,07306,40.72849,-74.0698512
1838,90013540,Condominium,SOLD,"JC, Downtown",280 MONMOUTH ST,A,"$281,500 ",1.0,1,22,10/28/2009,2/26/2010,,825.0,3.0,,21,128.0,Yes,,None,,07302-4093,No,,No,,,Yes,,,Yes,,3696,No,,No,,No,,,No,,,No,,280,Monmouth St,Historic Downtown,Jersey City,07302,40.7183493,-74.0515558
1839,308236,Condominium,SOLD,Secaucus,1020 Harmon Cove Tower,,"$282,000 ",2.0,2,121,10/10/2003,4/26/2004,,1446.0,5.0,,116,575.0,,,Covered,,7094,No,,Yes,,,Yes,,,Yes,,3600,Yes,,No,,Yes,,,No,,,Yes,,Not Found,Harmon Cove Tower,Not Found,Secaucus,07094,40.7821353,-74.0788455
1840,401700,One Family,SOLD,Bayonne,88 WEST 27TH ST,,"$282,000 ",3.0,1,18,2/27/2004,7/1/2004,,,,,13,,,None,,,7002,,No,,,,,No,No,,,5380,,,,,,,No,,,No,,,88,W 27th St,Constable Hook,Bayonne,07002,40.668839,-74.1193909
1841,407141,Condominium,SOLD,"JC, West Bergen",26 HOLLY ST,26,"$282,000 ",3.0,2,30,8/12/2004,10/26/2004,,1300.0,6.0,,22,550.0,,,1 Car,,7305,No,,Yes,,,No,,,Yes,,3966,No,,No,,No,,,No,,,No,,26,Holly St,Hackensack River Waterfront,Jersey City,07305,40.7063797,-74.103659
1842,505743,One Family,SOLD,"JC, Journal Square",190 DUNCAN AVE,,"$282,000 ",4.0,2,63,6/23/2005,9/21/2005,,,,,59,,,None,,,7306,,No,,,,,No,No,,,3265,,,,,,,No,,,No,,,190,Duncan Ave,West Side,Jersey City,07306,40.7271961,-74.0777523
1843,70001789,One Family,SOLD,Bayonne,91 LEXINGTON AVE,,"$282,000 ",2.0,1,14,2/7/2007,4/23/2007,,,6.0,,12,,,None,,,7002,,No,,,,,No,Yes,,,3500,,,,,,,No,,,No,,,91,Lexington Ave,Constable Hook,Bayonne,07002,40.649173,-74.126024
1844,70001719,One Family,SOLD,North Bergen,1415 11TH ST,,"$282,000 ",3.0,2,72,2/4/2007,6/5/2007,,,5.0,,68,,,None,,,7047,,No,,,,,No,No,,,3372,,,,,,,No,,,No,,,1415,11th St,Not Found,North Bergen,07047,40.761884,-74.045736
1845,70004764,Condominium,SOLD,"JC, Downtown",237 3RD ST,7,"$282,000 ",1.0,1,56,4/5/2007,6/26/2007,,650.0,3.0,,51,275.0,,,None,,07302-2841,No,,No,,,No,,,No,,1739,No,,No,,No,,,No,,,No,,237,3rd St,Downtown Jersey City,Jersey City,07302,40.7232733,-74.0447577
1846,70006040,Condominium,SOLD,"JC, Downtown",300 2ND ST,6,"$282,000 ",1.0,1,35,5/3/2007,8/1/2007,,550.0,3.0,,35,273.0,,,None,,7302,No,,No,,,No,,,No,,,No,,No,,No,,,No,,,No,,300,2nd St,Downtown Jersey City,Jersey City,07302,40.7227324,-74.046455
1847,70010826,Condominium,SOLD,"JC, Downtown",300 2ND ST,7,"$282,000 ",1.0,1,1,8/8/2007,8/9/2007,,565.0,3.0,,0,0.0,,,None,,7302,No,,No,,,No,,,No,,0,No,,No,,No,,,No,,,No,,300,2nd St,Downtown Jersey City,Jersey City,07302,40.7227324,-74.046455
1848,70007620,Condominium,SOLD,West New York,6405 BLVD EAST,A1,"$282,000 ",2.0,1,29,6/4/2007,8/24/2007,,770.0,4.0,,28,187.0,,,None,,07093-4159,No,,Yes,,,No,,,No,,2200,No,,No,,No,,,Yes,,,Yes,,Not Found,J F Kennedy Blvd E,Not Found,West New York,07093,40.7854937,-74.0081343
1849,70003102,Condominium,SOLD,"JC, Journal Square",85 BROADWAY,1C,"$282,000 ",2.0,1,225,3/9/2007,10/31/2007,,847.0,5.0,,225,299.0,,,1 Car,,07306-6354,No,,Yes,,,No,,,No,,3100,No,,No,,No,,,No,,,No,,85,Broadway,Journal Square,Jersey City,07306,40.7360353,-74.071796
1850,80014429,Condominium,SOLD,Secaucus,1627 PATERSON PLANK RD,21,"$282,000 ",1.0,1,50,11/3/2008,3/20/2009,,722.0,3.0,,50,183.0,,,2 Cars,,7094,No,,Yes,,,No,,,Yes,,0,No,,No,,No,,,No,,,No,,1627,Paterson Plank Rd,Not Found,Secaucus,07094,40.8030123,-74.0593502
1851,80015358,Condominium,SOLD,"JC, Heights",185 WEBSTER AVE,3C,"$282,000 ",2.0,1,116,12/1/2008,4/20/2009,,1020.0,5.0,,116,,,,None,,07307-1560,Yes,,Yes,,,Yes,,,Yes,,4647,No,,No,,No,,,Yes,,,Yes,,185,County Road 669,The Heights,Jersey City,07307,40.7448997,-74.0458379
